p,x,s,n,t,p,k,s,u
e,x,s,y,t,a,n,n,g
e,b,s,w,t,l,n,n,m
p,x,y,w,t,p,k,s,u
e,x,s,g,f,n,n,a,g
e,x,y,y,t,a,k,n,g
e,b,s,w,t,a,k,n,m
e,b,y,w,t,l,n,s,m
p,x,y,w,t,p,k,v,g
e,b,s,y,t,a,k,s,m
e,x,y,y,t,l,n,n,g
e,x,y,y,t,a,k,s,m
e,b,s,y,t,a,n,s,g
p,x,y,w,t,p,n,v,u
e,x,f,n,f,n,k,a,g
e,s,f,g,f,n,n,y,u
e,f,f,w,f,n,n,a,g
p,x,s,n,t,p,k,s,g
p,x,y,w,t,p,n,s,u
p,x,s,n,t,p,n,s,u
e,b,s,y,t,a,n,s,m
p,x,y,n,t,p,n,v,g
e,b,y,y,t,l,n,s,m
e,b,y,w,t,a,n,n,m
e,b,s,w,t,l,k,s,m
p,f,s,w,t,p,n,v,g
e,x,y,y,t,a,n,n,m
e,x,y,w,t,l,n,n,m
e,f,f,n,f,n,k,y,u
e,x,s,y,t,a,n,v,d
e,b,s,y,t,l,n,n,m
p,x,y,w,t,p,n,s,u
e,x,y,y,t,l,n,n,m
e,x,y,n,t,l,n,y,p
e,b,y,y,t,l,n,s,m
e,x,f,y,t,l,n,v,d
e,s,f,g,f,n,k,v,u
p,x,y,n,t,p,n,s,u
e,x,f,y,t,a,n,v,d
e,b,s,y,t,l,k,s,m
e,b,y,y,t,a,n,s,g
e,x,y,y,t,l,k,y,p
e,x,f,n,f,n,k,y,u
p,x,y,w,t,p,n,v,g
e,x,s,y,t,a,k,n,m
e,x,y,w,t,a,n,n,g
e,x,y,y,t,l,k,s,m
e,x,s,w,t,l,n,n,m
e,x,y,y,t,l,n,s,p
e,f,y,y,t,l,k,s,p
e,x,y,n,t,a,k,s,g
e,x,s,w,t,l,k,s,g
e,b,s,w,t,l,n,n,m
p,x,y,n,t,p,n,v,u
p,x,s,w,t,p,k,v,u
e,b,y,y,t,a,k,s,m
e,f,f,g,f,n,n,a,g
e,b,s,w,t,a,n,n,g
e,x,s,y,t,l,k,n,g
e,x,y,n,t,a,k,y,p
e,s,f,g,f,n,n,v,u
e,b,y,y,t,a,n,s,m
e,b,s,y,t,l,n,s,m
e,b,y,y,t,l,n,n,m
e,b,y,w,t,l,n,s,g
e,f,s,n,f,n,k,a,g
e,x,s,w,t,l,k,s,g
e,f,y,y,t,a,n,s,g
e,x,y,y,t,a,k,n,g
e,x,f,g,f,n,n,v,u
e,f,f,y,t,l,n,v,d
e,b,y,w,t,l,n,s,m
e,f,f,y,t,l,n,v,d
e,x,y,n,t,a,k,s,p
e,b,s,y,t,a,k,s,g
e,f,s,y,t,l,n,v,d
e,x,s,w,t,l,u,v,d
e,f,y,n,t,l,n,y,p
p,x,y,n,t,p,n,v,u
e,f,y,n,t,a,n,y,g
e,x,s,n,f,n,n,s,g
p,x,y,w,t,p,k,s,g
e,f,f,g,f,n,n,y,u
e,x,f,g,f,n,n,s,g
e,x,y,y,t,l,k,s,g
e,x,s,n,f,n,k,s,g
e,b,s,w,t,a,k,s,g
e,x,s,w,t,l,n,s,g
e,f,y,n,t,l,k,y,g
e,s,f,n,f,n,n,v,u
e,x,f,n,f,n,n,y,u
e,b,s,w,t,l,k,s,g
e,x,y,y,t,a,k,s,g
e,x,y,y,t,l,k,n,m
e,x,s,n,f,n,n,a,g
e,x,s,w,t,a,n,s,g
e,f,y,n,t,l,n,s,g
e,x,s,y,t,a,k,n,g
e,b,s,w,t,a,n,s,g
e,x,y,w,t,a,k,s,g
e,x,f,n,f,n,k,s,g
e,b,s,y,t,l,k,n,g
e,f,y,y,t,l,n,s,g
e,x,y,y,t,a,k,y,p
e,b,y,w,t,l,n,n,g
e,x,y,y,t,a,k,n,m
e,x,y,y,t,a,n,y,g
e,b,y,w,t,l,k,s,m
e,b,y,w,t,a,n,s,m
e,x,s,y,t,a,k,n,m
e,x,s,y,t,l,k,n,g
e,s,f,g,f,n,k,y,u
e,x,f,w,t,a,u,v,d
e,x,s,y,t,a,k,n,m
p,x,y,w,t,p,n,v,u
e,x,y,y,t,l,n,s,g
e,s,f,g,f,n,n,y,u
e,x,y,y,t,l,k,y,g
e,x,s,y,t,l,u,v,d
e,s,f,n,f,n,n,y,u
p,x,s,w,t,p,k,v,g
e,x,y,w,t,a,n,n,m
p,f,y,n,t,p,k,v,g
e,f,s,g,f,n,n,a,g
e,x,s,y,t,l,n,s,m
e,x,s,w,f,n,k,s,g
e,b,s,y,t,a,n,n,g
e,f,f,g,f,n,n,a,g
e,x,s,w,t,l,k,n,g
e,b,s,w,t,l,n,s,m
e,b,s,w,t,l,n,s,g
e,b,y,w,t,l,n,s,m
e,f,s,w,t,l,u,v,d
e,x,y,y,t,l,k,s,m
e,f,s,w,t,a,n,v,d
p,x,y,w,t,p,n,v,u
e,f,f,w,t,l,n,v,d
e,x,y,y,t,a,n,s,g
p,x,s,n,t,p,n,v,g
e,b,s,y,t,l,n,n,g
e,x,y,n,t,a,k,y,p
e,b,y,y,t,l,k,n,m
e,s,f,n,f,n,n,v,u
e,f,y,n,t,a,k,y,p
e,x,y,y,t,a,k,n,g
e,x,f,g,f,n,k,s,g
e,f,f,w,f,n,n,a,g
e,x,y,y,t,l,n,n,m
e,b,s,y,t,l,k,n,g
e,b,y,w,t,a,k,n,m
e,x,y,w,t,a,n,s,g
e,x,s,n,f,n,n,a,g
e,x,y,w,t,l,n,s,g
e,s,f,n,f,n,k,v,u
e,x,s,w,t,a,u,v,d
e,x,y,n,t,l,k,s,g
e,b,y,y,t,a,n,n,g
e,x,y,w,t,a,n,n,g
e,b,y,w,t,a,k,s,m
e,b,s,y,t,a,k,s,g
e,b,s,y,t,l,k,s,m
e,b,y,y,t,a,k,n,g
e,x,f,n,f,n,n,y,u
e,f,y,n,t,l,n,y,g
e,x,y,w,t,a,n,s,g
e,f,y,y,t,l,n,y,p
e,b,s,w,t,a,n,s,g
e,b,s,w,t,a,k,s,m
e,x,y,n,t,l,k,y,g
e,b,s,w,t,a,k,s,g
e,x,f,g,f,n,n,y,u
e,b,s,y,t,l,n,s,g
e,x,f,y,t,l,u,v,d
e,b,y,y,t,a,k,s,g
e,f,y,y,t,l,n,s,g
e,b,y,w,t,l,k,n,m
e,b,y,w,t,a,k,n,m
e,b,y,y,t,a,n,s,g
e,x,y,y,t,l,n,n,m
e,b,s,y,t,l,n,n,g
p,x,y,w,t,p,n,v,u
e,s,f,n,f,n,n,y,u
e,f,f,n,f,n,k,v,u
e,x,s,y,t,a,n,s,m
e,f,y,n,t,a,k,s,p
p,x,y,w,t,p,k,s,g
e,b,s,w,t,l,n,s,m
e,f,f,g,f,n,k,v,u
e,b,y,y,t,l,n,n,g
e,x,y,n,t,a,n,y,p
e,x,f,w,f,n,k,s,g
e,x,s,w,t,l,n,v,d
e,b,s,w,t,l,n,s,m
e,f,s,y,t,a,n,v,d
e,x,s,y,t,a,n,n,m
e,f,f,g,f,n,n,y,u
e,b,s,y,t,a,k,s,g
e,x,s,w,t,l,n,n,m
e,x,y,w,t,l,n,s,m
e,f,s,w,t,a,n,v,d
e,x,y,y,t,l,n,s,g
e,b,s,w,t,l,k,s,g
e,x,s,w,t,a,k,n,g
e,x,f,w,f,n,k,s,g
e,f,y,n,t,l,k,y,p
p,x,s,w,t,p,n,v,u
e,b,s,w,t,a,n,n,g
e,b,s,w,t,a,k,s,m
e,b,y,w,t,l,n,n,g
e,b,y,w,t,a,k,n,g
e,x,s,y,t,a,k,s,g
e,b,s,w,t,l,k,n,m
e,x,f,y,t,a,n,v,d
e,x,f,g,f,n,n,y,u
e,f,y,y,t,a,n,s,g
e,b,s,w,t,l,k,n,m
e,x,s,y,t,a,k,s,g
e,x,y,y,t,a,k,s,g
e,x,y,w,t,l,n,s,g
e,s,f,g,f,n,n,v,u
e,x,s,w,t,a,n,n,m
p,x,s,w,t,p,k,s,g
e,x,y,y,t,a,n,s,g
e,f,f,w,t,a,n,v,d
e,x,y,w,t,l,k,n,m
e,b,y,w,t,l,k,s,g
e,x,s,w,t,a,n,n,g
e,x,s,y,t,a,n,s,g
p,x,y,n,t,p,k,v,u
e,b,s,y,t,a,n,n,g
e,x,f,g,f,n,k,y,u
p,x,y,w,t,p,k,s,u
e,x,y,y,t,l,n,y,p
e,f,f,n,f,n,k,v,u
e,b,s,w,t,l,n,n,g
e,x,f,w,t,l,n,v,d
e,x,y,w,t,l,k,s,g
e,b,y,y,t,l,n,s,g
e,x,y,y,t,l,k,s,g
e,f,y,y,t,a,k,s,p
e,f,y,y,t,a,k,y,p
e,x,s,w,t,l,k,s,g
e,x,s,w,t,a,n,n,m
p,x,s,w,t,p,k,v,u
e,f,f,w,t,a,u,v,d
e,x,s,w,t,l,n,s,g
e,x,s,w,t,l,u,v,d
e,x,y,w,t,a,k,s,m
e,f,y,y,t,l,k,y,p
e,x,s,n,f,n,k,s,g
e,f,y,y,t,a,n,y,g
p,x,s,n,t,p,n,s,g
e,s,f,n,f,n,n,v,u
e,b,y,y,t,l,n,s,m
e,b,s,w,t,l,n,s,g
e,b,y,w,t,l,n,n,m
e,f,f,n,f,n,n,v,u
e,x,s,w,t,a,k,n,m
e,b,y,w,t,l,k,n,g
e,b,y,w,t,a,n,n,m
e,f,y,n,t,l,n,s,g
p,x,y,w,t,p,k,v,g
e,x,s,w,t,a,n,n,g
e,x,y,w,t,a,n,s,m
e,f,f,w,t,l,u,v,d
e,f,f,g,f,n,k,v,u
e,f,s,g,f,n,k,a,g
e,x,y,y,t,a,n,s,m
e,b,s,w,t,a,n,s,m
p,f,y,n,t,p,k,s,u
e,x,s,w,t,l,k,n,m
p,f,s,n,t,p,k,v,u
e,x,y,w,t,l,n,s,g
e,x,y,y,t,a,n,n,m
e,f,y,y,t,a,n,s,p
e,x,y,n,t,a,n,s,p
e,f,y,n,t,a,n,y,g
e,x,y,w,t,a,n,n,m
e,f,f,n,f,n,k,s,g
e,x,s,y,t,l,n,n,m
p,x,y,w,t,p,n,s,g
e,b,y,y,t,a,n,n,m
e,s,f,n,f,n,n,v,u
e,x,s,y,t,l,k,s,m
e,b,y,w,t,l,k,n,m
e,f,y,n,t,a,k,s,g
e,b,y,y,t,a,k,s,m
e,b,y,w,t,a,k,s,g
e,x,y,n,t,l,n,y,p
e,f,f,g,f,n,n,y,u
e,x,f,g,f,n,k,y,u
e,b,y,y,t,l,k,s,g
e,x,s,y,t,l,k,s,m
e,b,y,w,t,l,n,s,g
e,x,s,w,t,a,k,s,m
